item,cls,source,price,lo,hi,pos_in_range,consumed,trades_per_day,units_per_day,basis
cornflower,RENEWABLE,farmable,24000,4636,39000,56,,592,9960,last-15 spread
lily_of_the_valley,RENEWABLE,farmable,30000,2000,39000,76,,259,1583,last-15 spread
wither_rose,RENEWABLE,farmable,30000,20000,40000,50,,967,27363,last-15 spread
torchflower,RENEWABLE,farmable,97000,12500,400000,22,,428,4924,last-15 spread
pitcher_plant,RENEWABLE,farmable,69000,25000,70000,98,,174,1550,last-15 spread
spore_blossom,RENEWABLE,farmable,70000,69000,99000,3,,571,3639,last-15 spread
brown_mushroom,RENEWABLE,farmable,4000,761,4000,100,,1172,32223,last-15 spread
red_mushroom,RENEWABLE,farmable,800,250,10000,6,,302,6243,last-15 spread
crimson_fungus,RENEWABLE,farmable,333,156,375,81,,330,18329,last-15 spread
crimson_roots,RENEWABLE,farmable,62,47,78,50,,781,48102,last-15 spread
warped_roots,RENEWABLE,farmable,156,78,188,71,,246,13786,last-15 spread
nether_sprouts,RENEWABLE,farmable,615385,3000,897000,68,,4,47,last-15 spread
weeping_vines,RENEWABLE,farmable,4688,1639,7000,57,,335,18828,last-15 spread
twisting_vines,RENEWABLE,farmable,3390,3125,3750,42,,379,19421,last-15 spread
sugar_cane,RENEWABLE,farmable,810,547,1563,26,,8684,467440,last-15 spread
pink_petals,RENEWABLE,farmable,297,40,1000000,1,,1779,108244,11d candles
wildflowers,RENEWABLE,farmable,2344,1563,7734,13,,48,2269,last-15 spread
leaf_litter,RENEWABLE,farmable,1563,78,1500000,100,,97,5206,4d candles
moss_block,RENEWABLE,farmable,448,187,547,72,,7930,494994,last-15 spread
pale_moss_carpet,RENEWABLE,farmable,1639,594,9677,12,,306,17682,last-15 spread
pale_hanging_moss,RENEWABLE,farmable,5938,4688,6207,82,,196,10572,last-15 spread
pale_moss_block,RENEWABLE,farmable,4531,3438,4531,100,,892,53791,last-15 spread
hanging_roots,RENEWABLE,farmable,4348,3906,5714,24,,22,973,last-15 spread
big_dripleaf,RENEWABLE,farmable,2344,1250,5882,24,,270,5613,last-15 spread
small_dripleaf,RENEWABLE,farmable,78000,49000,100000,57,,131,161,last-15 spread
bamboo,RENEWABLE,farmable,125,40,30000,13,,5824,350849,10d candles
oak_slab,RENEWABLE,farmable,7813,547,9000,86,,1613,98000,last-15 spread
spruce_slab,RENEWABLE,farmable,155,155,159,0,,9551,598430,last-15 spread
birch_slab,RENEWABLE,farmable,313,161,405,62,,343,20633,last-15 spread
jungle_slab,RENEWABLE,farmable,3125,469,3125,100,,128,7704,last-15 spread
acacia_slab,RENEWABLE,farmable,1042,109,15594,6,,40,1984,last-15 spread
cherry_slab,RENEWABLE,farmable,609,469,609,100,,316,19143,last-15 spread
pale_oak_slab,RENEWABLE,farmable,5469,3125,5469,100,,724,45255,last-15 spread
mangrove_slab,RENEWABLE,farmable,1786,1563,3125,14,,370,22792,last-15 spread
bamboo_slab,RENEWABLE,farmable,859,781,859,100,,0,0,last-15 spread
bamboo_mosaic_slab,RENEWABLE,farmable,1578,1172,2344,35,,38,1513,last-15 spread
crimson_slab,RENEWABLE,farmable,13000,3125,46875,23,,289,17602,last-15 spread
warped_slab,RENEWABLE,farmable,1547,1531,1563,50,,458,28142,last-15 spread
stone_slab,RENEWABLE,farmable,3125,2344,3125,100,,1791,112900,last-15 spread
smooth_stone_slab,RENEWABLE,farmable,391,391,469,0,,3557,222467,last-15 spread
sandstone_slab,RENEWABLE,farmable,4688,3906,5469,50,,288,17375,last-15 spread
cut_sandstone_slab,RENEWABLE,farmable,2344,156,3906,58,,94,5503,last-15 spread
cobblestone_slab,RENEWABLE,farmable,234,156,1094,8,,4664,292692,last-15 spread
stone_brick_slab,RENEWABLE,farmable,3125,531,15609,17,,923,58251,last-15 spread
mud_brick_slab,RENEWABLE,farmable,7143,6250,7813,57,,197,11637,last-15 spread
nether_brick_slab,RENEWABLE,farmable,22000,4167,31250,66,,97,6075,last-15 spread
quartz_slab,RENEWABLE,farmable,6250,781,9148,65,,975,55766,last-15 spread
red_sandstone_slab,RENEWABLE,farmable,8065,7813,27778,1,,62,3106,last-15 spread
cut_red_sandstone_slab,RENEWABLE,farmable,11719,2869,20833,49,,12,574,last-15 spread
purpur_slab,RENEWABLE,farmable,14063,6166,15625,83,,130,7438,last-15 spread
prismarine_slab,RENEWABLE,farmable,3125,3125,7813,0,,115,7203,last-15 spread
prismarine_brick_slab,RENEWABLE,farmable,3125,3125,3906,0,,169,9610,last-15 spread
dark_prismarine_slab,RENEWABLE,farmable,4688,4688,12500,0,,131,8315,last-15 spread
smooth_quartz,RENEWABLE,farmable,3563,3516,3578,76,,2249,135301,last-15 spread
smooth_sandstone,RENEWABLE,farmable,3750,3750,3906,0,,1955,122906,last-15 spread
smooth_stone,RENEWABLE,farmable,303,303,313,0,,8271,522372,last-15 spread
bricks,RENEWABLE,farmable,1953,1953,3905,0,,679,39817,last-15 spread
bamboo_shelf,RENEWABLE,farmable,15000,1667,15313,98,,114,6367,last-15 spread
birch_shelf,RENEWABLE,farmable,25000,15469,90000,13,,81,1412,last-15 spread
cherry_shelf,RENEWABLE,farmable,6234,6234,10967,0,,133,5488,last-15 spread
crimson_shelf,RENEWABLE,farmable,12500,3906,62500,15,,66,2087,last-15 spread
dark_oak_shelf,RENEWABLE,farmable,6250,3125,15625,25,,223,10099,last-15 spread
jungle_shelf,RENEWABLE,farmable,12500,12500,62500,0,,52,2168,last-15 spread
mangrove_shelf,RENEWABLE,farmable,11719,10938,23438,6,,163,5942,last-15 spread
pale_oak_shelf,RENEWABLE,farmable,7813,5469,31250,9,,762,34954,last-15 spread
spruce_shelf,RENEWABLE,farmable,6250,6250,54688,0,,1086,46955,last-15 spread
warped_shelf,RENEWABLE,farmable,10938,9375,28125,8,,231,11733,last-15 spread
chiseled_bookshelf,RENEWABLE,farmable,2875,1406,2891,99,,1046,48952,last-15 spread
decorated_pot,RENEWABLE,farmable,10000,6234,79000,5,,694,19027,last-15 spread
mossy_cobblestone,RENEWABLE,farmable,781,78,781,100,,2071,129014,last-15 spread
obsidian,RENEWABLE,farmable,6250,500,100000,3,,23728,630640,33d candles
torch,RENEWABLE,farmable,781,547,2727,11,,10737,580034,last-15 spread
end_rod,RENEWABLE,farmable,4286,703,4286,100,,2989,101245,last-15 spread
chorus_flower,RENEWABLE,farmable,10000,5246,15000,49,,108,941,last-15 spread
purpur_pillar,RENEWABLE,farmable,1484,1484,1547,0,,246,13628,last-15 spread
purpur_stairs,RENEWABLE,farmable,7813,5882,7813,100,,141,7009,last-15 spread
creaking_heart,RENEWABLE,farmable,4531,1562,10000000,1,,246,4927,6d candles
chest,RENEWABLE,farmable,781,781,40000,0,,21030,717651,last-15 spread
crafting_table,RENEWABLE,farmable,1172,625,7059,9,,13912,383443,last-15 spread
furnace,RENEWABLE,farmable,5000,156,6400,78,,8022,452920,last-15 spread
ladder,RENEWABLE,farmable,547,306,30000,1,,9835,587225,last-15 spread
cobblestone_stairs,RENEWABLE,farmable,1250,1250,2109,0,,2114,133875,last-15 spread
snow,RENEWABLE,farmable,313,313,781,0,,882,54687,last-15 spread
snow_block,RENEWABLE,farmable,781,297,781,100,,3513,213897,last-15 spread
cactus,RENEWABLE,farmable,422,422,453,0,,2477,143851,last-15 spread
cactus_flower,RENEWABLE,farmable,10000,5000,29000,21,,331,2631,last-15 spread
clay,RENEWABLE,farmable,1667,455,3125,45,,921,54778,last-15 spread
jukebox,RENEWABLE,farmable,30000,30000,40000,0,,1502,5808,last-15 spread
spruce_fence,RENEWABLE,farmable,8000,1563,20000,35,,4528,207028,last-15 spread
birch_fence,RENEWABLE,farmable,3125,2222,15625,7,,265,11725,last-15 spread
jungle_fence,RENEWABLE,farmable,3571,1094,9375,30,,75,2513,last-15 spread
acacia_fence,RENEWABLE,farmable,10000,8000,10000,100,,48,1399,last-15 spread
cherry_fence,RENEWABLE,farmable,3125,1563,3125,100,,220,10304,last-15 spread
dark_oak_fence,RENEWABLE,farmable,6042,2292,6250,95,,432,14121,last-15 spread
mangrove_fence,RENEWABLE,farmable,31250,23438,31250,100,,75,4252,last-15 spread
bamboo_fence,RENEWABLE,farmable,3906,1875,3906,100,,386,22535,last-15 spread
crimson_fence,RENEWABLE,farmable,15625,6250,9000000,0,,84,2582,last-15 spread
warped_fence,RENEWABLE,farmable,50000,12500,50000,100,,96,3660,last-15 spread
pumpkin,RENEWABLE,farmable,1250,1172,1703,15,,2148,97016,last-15 spread
carved_pumpkin,RENEWABLE,farmable,32500,3438,39000,82,,4421,65344,last-15 spread
jack_o_lantern,RENEWABLE,farmable,40000,19355,150000,16,,233,3000,last-15 spread
netherrack,RENEWABLE,farmable,594,313,594,100,,4677,291894,last-15 spread
soul_sand,RENEWABLE,farmable,3720,30,250000,0,,12778,282456,33d candles
soul_soil,RENEWABLE,farmable,1094,1016,7813,1,,1343,70922,last-15 spread
basalt,RENEWABLE,farmable,62,62,78,0,,4551,288433,last-15 spread
