kind,action,item,inputs,unit_cost,unit_value,per_listing,capital_per_listing,profit_per_listing,cycle_min,profit_per_slot_hour,raw_slot_hour,grade,depth_listings_per_day,ceiling_per_hour,useful_slots,note
CRAFT,craft blue_wool and sell a stack,blue_wool,1x blue_dye + 1x black_wool,795.6,4688.0,64,50920,249112,7.9,942708,1885417,C,103.9,539395,0.57,
CRAFT,craft yellow_wool and sell a stack,yellow_wool,1x yellow_dye + 1x black_wool,342.5,4375.0,64,21920,258080,8.3,931828,1863655,C,98.5,529660,0.57,
CRAFT,craft cyan_terracotta and sell a stack,cyan_terracotta,8x terracotta + 1x cyan_dye,256.3,3125.0,64,16400,183600,6.0,918000,1835999,C,164.9,630676,0.69,
CRAFT,craft polished_deepslate_stairs and sell a stack,polished_deepslate_stairs,6x polished_deepslate,585.9,2344.0,64,37500,112516,6.4,903085,1062453,B,134.5,535877,0.59,
CRAFT,craft tnt and sell a stack,tnt,5x gunpowder + 4x red_sand,1247.0,3906.0,64,79811,170173,6.0,850867,1701734,C,1362.2,4829547,5.68,
CRAFT,craft pale_oak_stairs and sell a stack,pale_oak_stairs,6x pale_oak_planks,982.4,3906.0,64,62874,187110,11.2,850068,1000080,B,70.4,466599,0.55,
CRAFT,craft golden_carrot and sell a stack,golden_carrot,8x gold_nugget + 1x carrot,354.0,2953.0,64,22656,166336,6.0,831680,1663360,C,329.8,1142737,1.37,
CRAFT,craft blue_carpet and sell a stack,blue_carpet,2x blue_wool,46.7,4636.0,64,2987,293717,10.7,820328,1640657,C,73.9,452269,0.55,
CRAFT,craft pale_oak_slab and sell a stack,pale_oak_slab,3x pale_oak_planks,327.5,3125.0,64,20958,179042,11.2,816571,960671,B,70.7,448383,0.55,
CRAFT,craft dispenser and sell a stack,dispenser,7x cobblestone + 1x bow + 1x redstone,1350.4,3875.0,64,86426,161574,6.0,807872,1615744,C,297.3,1000772,1.24,
CRAFT,craft gold_ingot and sell a stack,gold_ingot,9x gold_nugget,297.0,2813.0,64,19008,161024,6.0,805120,1610240,C,307.8,1032551,1.28,
CRAFT,craft beehive and sell a stack,beehive,6x spruce_planks + 3x honeycomb,492.0,5469.0,64,31488,318528,12.0,799561,1599123,C,65.7,436286,0.55,
CRAFT,craft polished_blackstone_bricks and sell a stack,polished_blackstone_bricks,4x polished_blackstone,312.0,2797.0,64,19968,159040,6.0,795200,1590400,C,447.1,1481226,1.86,
CRAFT,craft polished_deepslate_wall and sell a stack,polished_deepslate_wall,6x polished_deepslate,390.6,7797.0,64,25000,474008,30.6,789299,928587,B,24.3,407970,0.52,
CRAFT,craft purple_carpet and sell a stack,purple_carpet,2x purple_wool,2020.7,6234.0,64,129323,269653,17.5,786795,925641,B,43.7,417270,0.53,
CRAFT,craft orange_stained_glass and sell a stack,orange_stained_glass,8x glass + 1x orange_dye,455.3,2813.0,64,29136,150896,6.0,754478,1508956,C,162.5,510712,0.68,
FLIP,"buy emerald_block on /orders at 21,100, relist a stack",emerald_block,64 x emerald_block,21100.0,27969.0,64,1350400,439616,35.0,753627,753627,A,359.6,6586226,8.74,order needs ~0.5h to fill
CRAFT,craft stone_slab and sell a stack,stone_slab,3x stone,7.0,2344.0,64,448,149568,6.0,747840,1495680,C,176.4,549682,0.74,
CRAFT,craft wind_charge and sell a stack,wind_charge,1x breeze_rod,3925.0,6250.0,64,251200,148800,6.0,744000,1488000,C,572.7,1775365,2.39,
CRAFT,craft orange_wool and sell a stack,orange_wool,1x orange_dye + 1x black_wool,1432.0,5375.0,64,91651,252349,10.2,739449,1478897,C,77.9,409746,0.55,
CRAFT,craft copper_block and sell a stack,copper_block,9x copper_ingot,567.0,4688.0,64,36288,263744,10.7,739185,1478369,C,74.2,407679,0.55,
CRAFT,craft brown_stained_glass and sell a stack,brown_stained_glass,8x glass + 1x brown_dye,453.8,3125.0,64,29045,170955,7.1,724390,1448780,C,118.4,421767,0.58,
CRAFT,craft prismarine_stairs and sell a stack,prismarine_stairs,6x prismarine,4417.0,13281.0,64,282687,567297,40.1,721788,849162,B,18.4,370128,0.51,
CRAFT,craft blast_furnace and sell a stack,blast_furnace,5x iron_ingot + 1x furnace + 3x smooth_stone,1185.3,5703.0,64,75860,289132,12.0,720633,1441265,C,65.2,392964,0.55,
CRAFT,craft pale_oak_trapdoor and sell a stack,pale_oak_trapdoor,6x pale_oak_planks,1964.8,3906.0,64,125748,124236,8.8,716251,842648,B,91.8,403769,0.56,
CRAFT,craft polished_blackstone_brick_stairs and sell a stack,polished_blackstone_brick_stairs,6x polished_blackstone_bricks,322.5,4219.0,64,20640,249376,10.5,712340,1424680,C,75.8,393652,0.55,
CRAFT,craft pale_oak_sign and sell a stack,pale_oak_sign,6x pale_oak_planks + 1x stick,1311.5,10188.0,16,20985,142023,6.0,710116,1420233,C,223.2,660316,0.93,
CRAFT,craft emerald and sell a stack,emerald,1x emerald_block,2344.4,3438.0,64,150044,69988,6.0,699876,699876,A,386.9,1128153,1.61,
CRAFT,craft tuff_bricks and sell a stack,tuff_bricks,4x polished_tuff,1851.6,3125.0,64,118503,81497,6.0,692724,814970,B,185.3,534705,0.77,
CRAFT,craft stone_button and sell a stack,stone_button,1x stone,14.0,3906.0,64,896,249088,11.1,675348,1350696,C,71.5,371224,0.55,
CRAFT,craft quartz_stairs and sell a stack,quartz_stairs,6x quartz_block,1650.0,3750.0,64,105600,134400,6.0,672000,1344000,C,176.0,492852,0.73,
CRAFT,craft gray_stained_glass and sell a stack,gray_stained_glass,8x glass + 1x gray_dye,722.2,2813.0,64,46222,133810,6.0,669051,1338102,C,148.0,412690,0.62,
CRAFT,craft waxed_oxidized_copper_bulb and sell a stack,waxed_oxidized_copper_bulb,3x waxed_oxidized_copper + 1x blaze_rod + 1x redstone,3703.8,12500.0,64,237045,562955,25.5,661076,1322153,C,29.3,344004,0.52,
CRAFT,craft white_stained_glass_pane and sell a stack,white_stained_glass_pane,6x white_stained_glass,116.2,3109.0,64,7440,191536,8.7,658357,1316713,C,93.2,371774,0.56,
CRAFT,craft activator_rail and sell a stack,activator_rail,6x iron_ingot + 2x stick + 1x redstone_torch,205.5,3125.0,64,13152,186848,8.7,647711,1295422,C,94.1,366166,0.57,
CRAFT,craft blackstone_stairs and sell a stack,blackstone_stairs,6x blackstone,1275.0,3125.0,64,81600,118400,11.0,646812,646812,A,72.1,355801,0.55,
CRAFT,craft red_carpet and sell a stack,red_carpet,1x red_dye + 1x black_carpet,1702.9,2891.0,64,108984,76040,6.0,646337,760397,B,236.9,638069,0.99,
CRAFT,craft mud_bricks and sell a stack,mud_bricks,4x packed_mud,400.0,3125.0,64,25600,174400,8.1,642788,1285577,C,100.8,366410,0.57,
CRAFT,craft birch_stairs and sell a stack,birch_stairs,6x birch_planks,234.4,4086.0,64,15000,246504,19.7,639025,751794,B,38.6,336623,0.53,
CRAFT,craft smoker and sell a stack,smoker,4x dark_oak_wood + 1x furnace,195.3,2188.0,64,12500,127532,6.0,637661,1275322,C,292.1,776140,1.22,
CRAFT,craft dark_prismarine and sell a stack,dark_prismarine,8x prismarine_shard + 1x black_dye,274.0,3571.0,64,17536,211008,10.0,633747,1267494,C,80.1,352126,0.56,
CRAFT,craft cyan_dye and sell a stack,cyan_dye,1x blue_dye + 1x green_dye,773.3,2273.0,64,49492,95980,7.7,633636,745454,B,107.1,363927,0.57,
CRAFT,craft warped_stairs and sell a stack,warped_stairs,6x warped_planks,3073.6,7813.0,64,196709,303323,24.5,632226,743795,B,30.7,329583,0.52,
CRAFT,craft packed_mud and sell a stack,packed_mud,1x mud + 1x wheat,226.0,3906.0,64,14464,235520,11.3,627632,1255264,C,70.2,344410,0.55,
CRAFT,craft black_stained_glass and sell a stack,black_stained_glass,8x glass + 1x black_dye,291.2,2250.0,64,18640,125360,6.0,626800,1253600,C,542.5,1416797,2.26,
CRAFT,craft purple_concrete_powder and sell a stack,purple_concrete_powder,1x purple_dye + 4x sand + 4x gravel,258.9,3003.0,64,16568,175624,8.5,623416,1246833,C,96.6,353540,0.57,
CRAFT,craft lime_wool and sell a stack,lime_wool,1x lime_dye + 1x black_wool,80.0,3016.0,64,5120,187904,9.2,611291,1222581,C,87.6,342821,0.56,
CRAFT,craft polished_andesite_slab and sell a stack,polished_andesite_slab,3x polished_andesite,773.4,4390.0,64,49500,231460,19.4,608881,716330,B,39.2,320998,0.53,
CRAFT,craft red_stained_glass and sell a stack,red_stained_glass,8x glass + 1x red_dye,299.5,2188.0,64,19168,120864,6.0,604320,1208640,C,349.5,880151,1.46,
CRAFT,craft bread and sell a stack,bread,3x wheat,675.0,2547.0,64,43200,119808,6.0,599040,1198080,C,501.1,1250761,2.09,
CRAFT,craft cobblestone_stairs and sell a stack,cobblestone_stairs,6x cobblestone,197.0,1250.0,64,12611,67389,6.0,572810,673894,B,209.2,499251,0.87,
CRAFT,craft lime_dye and sell a stack,lime_dye,1x green_dye + 1x white_dye,682.3,1719.0,64,43665,66351,6.0,563987,663514,B,181.0,425292,0.75,
CRAFT,craft mangrove_wood and sell a stack,mangrove_wood,4x mangrove_log,4617.8,15469.0,64,295542,694474,62.9,563514,662958,B,11.6,286312,0.51,
CRAFT,craft polished_basalt and sell a stack,polished_basalt,4x basalt,62.5,1094.0,64,4000,66016,6.0,561136,660160,B,159.9,373751,0.67,
CRAFT,craft polished_blackstone_stairs and sell a stack,polished_blackstone_stairs,6x polished_blackstone,468.0,3109.0,64,29952,169024,9.1,555557,1111114,C,88.6,311957,0.56,
CRAFT,craft waxed_weathered_cut_copper and sell a stack,waxed_weathered_cut_copper,4x waxed_weathered_copper,19230.8,62500.0,64,1230769,2769231,256.1,551361,648660,B,2.8,276761,0.5,
CRAFT,craft lapis_block and sell a stack,lapis_block,9x lapis_lazuli,198.0,1875.0,64,12672,107328,6.0,536640,1073280,C,150.0,335487,0.63,
CRAFT,craft leather and sell a stack,leather,4x rabbit_hide,52.4,1719.0,64,3354,106662,6.0,533312,1066624,C,375.3,833998,1.56,
CRAFT,craft nether_brick_stairs and sell a stack,nether_brick_stairs,6x nether_bricks,3653.8,15594.0,64,233845,764171,73.8,527783,620922,B,9.9,267514,0.51,
CRAFT,craft yellow_terracotta and sell a stack,yellow_terracotta,8x terracotta + 1x yellow_dye,289.1,1650.0,64,18500,87100,8.5,522187,614338,B,95.9,295875,0.57,
CRAFT,craft oxidized_cut_copper and sell a stack,oxidized_cut_copper,4x oxidized_copper,1000.0,31526.0,64,64000,1953664,112.6,520635,1041271,C,6.5,262651,0.5,
CRAFT,craft stripped_pale_oak_wood and sell a stack,stripped_pale_oak_wood,4x stripped_pale_oak_log,5208.3,10824.0,64,333333,359403,35.3,519648,611351,B,21.0,267405,0.51,
CRAFT,craft light_gray_stained_glass and sell a stack,light_gray_stained_glass,8x glass + 1x light_gray_dye,407.9,2031.0,64,26104,103880,6.0,519400,1038800,C,164.2,355404,0.68,
CRAFT,craft spruce_hanging_sign and sell a stack,spruce_hanging_sign,2x iron_chain + 6x stripped_spruce_log,2864.8,25000.0,16,45836,354164,35.1,513961,604660,B,21.1,264507,0.51,
CRAFT,craft red_concrete_powder and sell a stack,red_concrete_powder,1x red_dye + 4x sand + 4x gravel,180.8,2031.0,64,11568,118416,7.0,508075,1016150,C,120.2,296433,0.58,
CRAFT,craft polished_tuff and sell a stack,polished_tuff,4x tuff,1.0,1875.0,64,64,119936,7.1,504724,1009449,C,117.5,293539,0.58,
CRAFT,craft magenta_terracotta and sell a stack,magenta_terracotta,8x terracotta + 1x magenta_dye,269.4,4688.0,64,17240,282792,28.8,500703,589063,B,25.9,259356,0.52,
CRAFT,craft black_wool and sell a stack,black_wool,1x black_dye + 1x blue_wool,160.0,1703.0,64,10240,98752,6.0,493760,987520,C,287.4,591310,1.2,
CRAFT,craft stone_brick_wall and sell a stack,stone_brick_wall,6x stone_bricks,5.0,1547.0,64,320,98688,6.0,493440,986880,C,166.7,342816,0.69,
CRAFT,craft bundle and sell a stack,bundle,1x string + 1x leather,355.0,99000.0,1,355,98645,6.0,493225,986450,C,416.5,855951,1.74,
CRAFT,craft polished_andesite and sell a stack,polished_andesite,4x andesite,11.0,1547.0,64,704,98304,6.0,491520,983040,C,231.3,473757,0.96,
CRAFT,craft black_candle and sell a stack,black_candle,1x candle + 1x black_dye,190.0,7813.0,64,12160,487872,29.8,490494,980987,C,25.0,253751,0.52,
CRAFT,craft spruce_fence and sell a stack,spruce_fence,4x spruce_planks + 2x stick,46.0,1563.0,64,2944,97088,6.0,485440,970880,C,323.5,654295,1.35,
CRAFT,craft cake and sell a stack,cake,3x milk_bucket + 2x sugar + 1x egg + 3x wheat,2591.0,99000.0,1,2591,96409,6.0,482045,964090,C,180.8,363141,0.75,
CRAFT,craft red_nether_brick_stairs and sell a stack,red_nether_brick_stairs,6x red_nether_bricks,45.0,17188.0,64,2880,1097152,68.3,481637,963275,C,10.7,244395,0.51,
CRAFT,craft redstone_lamp and sell a stack,redstone_lamp,4x redstone + 1x glowstone,1873.5,4688.0,64,119905,180127,11.3,480308,960616,C,70.2,263582,0.55,
CRAFT,craft white_carpet and sell a stack,white_carpet,2x white_wool,68.7,1563.0,64,4395,95637,6.0,478187,956373,C,444.5,885638,1.85,
CRAFT,craft cyan_candle and sell a stack,cyan_candle,1x candle + 1x cyan_dye,150.0,15522.0,64,9601,983807,61.8,477642,955283,C,11.8,242749,0.51,
CRAFT,craft light_gray_carpet and sell a stack,light_gray_carpet,2x light_gray_wool,1250.0,4688.0,64,80000,220032,23.5,476802,560943,B,32.0,248980,0.52,
CRAFT,craft black_carpet and sell a stack,black_carpet,2x black_wool,20.0,1484.0,64,1280,93696,6.0,468480,936960,C,163.0,318167,0.68,
CRAFT,craft deepslate_tile_stairs and sell a stack,deepslate_tile_stairs,6x deepslate_tiles,7.5,2266.0,64,480,144544,9.3,466225,932451,C,86.7,261196,0.56,
CRAFT,craft diorite and sell a stack,diorite,2x cobblestone + 2x quartz,441.4,1875.0,64,28247,91753,6.0,458765,917530,C,249.7,477316,1.04,
CRAFT,craft diorite_stairs and sell a stack,diorite_stairs,6x diorite,1795.4,5469.0,64,114904,235112,26.2,458124,538970,B,28.6,238162,0.52,
FLIP,"buy respawn_anchor on /orders at 17,700, relist a stack",respawn_anchor,64 x respawn_anchor,17700.0,21873.0,64,1132800,267072,35.0,457838,457838,A,256.9,2858296,6.24,order needs ~0.5h to fill
CRAFT,craft brown_wool and sell a stack,brown_wool,1x brown_dye + 1x black_wool,1420.6,4688.0,64,90920,209112,13.8,453784,907567,C,56.1,244584,0.54,
CRAFT,craft pale_oak_fence and sell a stack,pale_oak_fence,4x pale_oak_planks + 2x stick,876.6,4688.0,64,56102,243930,16.1,453627,907254,C,47.6,241802,0.53,
CRAFT,craft tripwire_hook and sell a stack,tripwire_hook,1x iron_ingot + 1x stick + 1x spruce_planks,103.5,1547.0,64,6624,92384,6.1,453368,906736,C,140.8,271017,0.6,
CRAFT,craft white_candle and sell a stack,white_candle,1x candle + 1x white_dye,683.5,4688.0,64,43745,256287,17.1,449550,899100,C,44.7,238734,0.53,
CRAFT,craft lime_stained_glass and sell a stack,lime_stained_glass,8x glass + 1x lime_dye,286.2,1688.0,64,18320,89712,6.0,448560,897120,C,227.4,425019,0.95,
CRAFT,craft sandstone_slab and sell a stack,sandstone_slab,3x sandstone,156.2,3906.0,64,10000,239984,27.5,444724,523205,B,27.1,230746,0.52,
CRAFT,craft black_bed and sell a stack,black_bed,3x black_wool + 3x spruce_planks,186.0,88000.0,1,186,87814,6.0,439070,878140,C,196.2,358940,0.82,
CRAFT,craft magma_cream and sell a stack,magma_cream,1x blaze_powder + 1x slime_ball,70.0,2969.0,64,4480,185536,12.8,434164,868327,C,60.9,235447,0.54,
CRAFT,craft coal_block and sell a stack,coal_block,9x coal,1800.0,3140.0,64,115200,85760,6.0,428800,857600,C,186.2,332672,0.78,
CRAFT,craft conduit and sell a stack,conduit,8x nautilus_shell + 1x heart_of_the_sea,44877.0,73386.0,64,2872125,1824579,128.0,427712,855424,C,5.7,215540,0.5,
BREW,"brew Fire Resistance, one potion per slot",potion,nether_wart + magma_cream + 3 bottles,280.2,100000,1,280,99720,7.0,427371,854741,C,3956.6,8219823,19.23,"price from his own realized sales, not market median"
BREW,"brew Healing, one potion per slot",potion,nether_wart + glistering_melon_slice + 3 bottles,317.8,100000,1,318,99682,7.0,427209,854419,C,3956.6,8216718,19.23,"price from his own realized sales, not market median"
CRAFT,craft andesite_wall and sell a stack,andesite_wall,6x andesite,11.0,5469.0,64,704,349312,24.6,426567,853135,C,30.6,222334,0.52,
CRAFT,craft wheat and sell a stack,wheat,1x hay_block,233.3,1563.0,64,14933,85099,6.0,425493,850987,C,357.2,633329,1.49,
CRAFT,craft bamboo_stairs and sell a stack,bamboo_stairs,6x bamboo_planks,703.5,5000.0,64,45024,274976,33.4,420354,494534,B,22.2,216672,0.52,
FLIP,"buy diamond_block on /orders at 44,600, relist a stack",diamond_block,64 x diamond_block,44600.0,48422.0,64,2854400,244608,35.0,419328,419328,A,472.6,4817153,11.49,order needs ~0.5h to fill
CRAFT,craft oak_fence and sell a stack,oak_fence,4x oak_planks + 2x stick,72.7,1563.0,64,4651,95381,7.0,411393,822786,C,120.9,240236,0.58,
CRAFT,craft pink_carpet and sell a stack,pink_carpet,2x pink_wool,106.7,2857.0,64,6827,176021,12.8,411119,822239,C,60.8,222915,0.54,
CRAFT,craft polished_diorite_stairs and sell a stack,polished_diorite_stairs,6x polished_diorite,1757.8,3125.0,64,112500,87500,10.9,408990,481165,B,72.6,225128,0.55,
CRAFT,craft white_wool and sell a stack,white_wool,4x string,288.0,1563.0,64,18432,81600,6.0,408000,816000,C,428.1,727831,1.78,
CRAFT,craft warped_hyphae and sell a stack,warped_hyphae,4x warped_stem,268.0,8594.0,64,17152,532864,39.2,407381,814763,C,18.8,209017,0.51,
CRAFT,craft quartz_bricks and sell a stack,quartz_bricks,4x quartz_block,1100.0,3109.0,64,70400,128576,9.6,400601,801202,C,83.4,223514,0.56,
CRAFT,craft purple_wool and sell a stack,purple_wool,1x purple_dye + 1x black_wool,811.0,2980.0,64,51904,138816,10.4,398530,797061,C,76.2,220352,0.55,
FLIP,"buy ghast_tear on /orders at 10,000, relist a stack",ghast_tear,64 x ghast_tear,10000.0,15600.0,64,640000,358400,54.5,394680,394680,A,29.4,439133,1.11,order needs ~0.5h to fill
CRAFT,craft mangrove_stairs and sell a stack,mangrove_stairs,6x mangrove_planks,2575.5,6875.0,64,164832,275168,35.6,393830,463329,B,20.8,202601,0.51,
CRAFT,craft polished_diorite_slab and sell a stack,polished_diorite_slab,3x polished_diorite,585.9,3125.0,64,37500,162500,21.2,390644,459581,B,35.6,204984,0.52,
CRAFT,craft lime_terracotta and sell a stack,lime_terracotta,8x terracotta + 1x lime_dye,256.2,3891.0,64,16400,232624,18.1,386506,773012,C,42.2,204583,0.53,
CRAFT,craft smooth_quartz_slab and sell a stack,smooth_quartz_slab,3x smooth_quartz,550.0,4359.0,64,35200,243776,19.2,380577,761153,C,39.5,200734,0.53,
CRAFT,craft tuff_brick_wall and sell a stack,tuff_brick_wall,6x tuff_bricks,1181.5,6250.0,64,75614,324386,43.5,380131,447213,B,16.9,194535,0.51,
CRAFT,craft spruce_wood and sell a stack,spruce_wood,4x spruce_log,96.0,1563.0,64,6144,93888,15.0,375208,375208,A,51.4,200991,0.54,
CRAFT,craft andesite_stairs and sell a stack,andesite_stairs,6x andesite,16.5,3828.0,64,1056,243936,19.7,371709,743418,C,38.5,195800,0.53,
CRAFT,craft mangrove_fence and sell a stack,mangrove_fence,4x mangrove_planks + 2x stick,2292.7,23438.0,64,146731,1353301,109.4,371200,742399,C,6.6,187312,0.5,
CRAFT,craft deepslate_brick_stairs and sell a stack,deepslate_brick_stairs,6x deepslate_bricks,15.0,1172.0,64,960,74048,6.0,370240,740480,C,158.2,244120,0.66,
CRAFT,craft blue_stained_glass and sell a stack,blue_stained_glass,8x glass + 1x blue_dye,375.7,1531.0,64,24045,73939,6.0,369695,739390,C,347.4,535117,1.45,
